regionname,countryname,project result,curr_project_cost,lendinginstr
Eastern and Southern Africa,Republic of the Sudan,Fail,50000000,Investment Project Financing
Eastern and Southern Africa,Republic of Kenya,Success,306000000,Program-for-Results Financing
Middle East and North Africa,Hashemite Kingdom of Jordan,Success,63750000,Investment Project Financing
Eastern and Southern Africa,Republic of Madagascar,Success,100000000,Investment Project Financing
Middle East and North Africa,Republic of Yemen,Success,20010000,Investment Project Financing
Eastern and Southern Africa,Republic of the Sudan,Success,100900000,Investment Project Financing
Eastern and Southern Africa,Republic of Madagascar,Success,200000000,Investment Project Financing
Eastern and Southern Africa,Republic of Botswana,Fail,150000000,Development Policy Lending
Middle East and North Africa,Hashemite Kingdom of Jordan,Success,290000000,Investment Project Financing
Western and Central Africa,Republic of Cameroon,Fail,100000000,Investment Project Financing
Western and Central Africa,Republic of Sierra Leone,Success,40000000,Investment Project Financing
Western and Central Africa,Republic of Liberia,Success,2110000,Investment Project Financing
Middle East and North Africa,Lebanese Republic,Success,3000000,Investment Project Financing
Western and Central Africa,Republic of Cote d'Ivoire,Fail,250000000,Program-for-Results Financing
Western and Central Africa,Republic of Mali,Success,30000000,Investment Project Financing
Middle East and North Africa,Republic of Djibouti,Fail,15000000,Investment Project Financing
Western and Central Africa,Republic of Togo,Fail,200000000,Investment Project Financing
Western and Central Africa,Republic of Benin,Fail,150000000,Program-for-Results Financing
Eastern and Southern Africa,Republic of Mozambique,Success,300000000,Development Policy Lending
Eastern and Southern Africa,Republic of South Sudan,Success,34000000,Investment Project Financing
Eastern and Southern Africa,Republic of Kenya,Success,275000000,Investment Project Financing
Western and Central Africa,Central African Republic,Success,50000000,Investment Project Financing
Eastern and Southern Africa,Republic of Malawi,Success,5000000,Investment Project Financing
Eastern and Southern Africa,Republic of Uganda,Success,217000000,Investment Project Financing
Eastern and Southern Africa,Eastern and Southern Africa,Success,70000000,Investment Project Financing
Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,Fail,537000000,Investment Project Financing
Eastern and Southern Africa,Republic of Kenya,Fail,300000000,Investment Project Financing
Western and Central Africa,Republic of Guinea-Bissau,Success,5000000,Investment Project Financing
Eastern and Southern Africa,Republic of the Sudan,Fail,302800000,Investment Project Financing
Eastern and Southern Africa,Republic of Rwanda,Success,14360000,Investment Project Financing
Western and Central Africa,Republic of Guinea,Success,28200000,Investment Project Financing
Eastern and Southern Africa,Republic of Kenya,Success,183500000,Investment Project Financing
Eastern and Southern Africa,Republic of Kenya,Fail,230000000,Program-for-Results Financing
Western and Central Africa,Republic of Guinea-Bissau,Success,2650000,Investment Project Financing
Western and Central Africa,Western and Central Africa,Fail,589000000,Investment Project Financing
Middle East and North Africa,Republic of Djibouti,Fail,4730000,Investment Project Financing
Middle East and North Africa,Arab Republic of Egypt,Fail,9130000,Investment Project Financing
Western and Central Africa,Central African Republic,Success,138000000,Investment Project Financing
Eastern and Southern Africa,United Republic of Tanzania,Fail,150000000,Investment Project Financing
Western and Central Africa,Republic of Benin,Fail,100000000,Program-for-Results Financing
Africa East,Somali Democratic Republic,Fail,41500000,Investment Project Financing
Western and Central Africa,Central Africa,Fail,2130000,Investment Project Financing
Western and Central Africa,Republic of Benin,Success,1400000000,Program-for-Results Financing
Western and Central Africa,Western and Central Africa,Fail,20500000,Investment Project Financing
Western and Central Africa,Western and Central Africa,Fail,6000000,Investment Project Financing
Western and Central Africa,Western and Central Africa,Fail,12000000,Investment Project Financing
Middle East and North Africa,Lebanese Republic,Success,10000000,Investment Project Financing
Western and Central Africa,Republic of Mali,Fail,603800000,Investment Project Financing
Eastern and Southern Africa,Republic of Angola,Success,150000000,Investment Project Financing
Eastern and Southern Africa,United Republic of Tanzania,Fail,217000000,Investment Project Financing
Middle East and North Africa,Lebanese Republic,Success,7800000,Investment Project Financing
Western and Central Africa,Republic of Senegal,Success,160000000,Investment Project Financing
Eastern and Southern Africa,Eastern and Southern Africa,Fail,4570000,Investment Project Financing
Middle East and North Africa,Republic of Iraq,Success,4360000,Investment Project Financing
Middle East and North Africa,Lebanese Republic,Success,12750000,Investment Project Financing
Eastern and Southern Africa,Republic of Malawi,Success,285000000,Investment Project Financing
Middle East and North Africa,Republic of Yemen,Success,150000000,Investment Project Financing
Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,Success,5000000,Investment Project Financing
Western and Central Africa,Republic of Benin,Success,30000000,Investment Project Financing
Middle East and North Africa,Lebanese Republic,Fail,3100000,Investment Project Financing
Western and Central Africa,Republic of Senegal,Success,100000000,Investment Project Financing
Eastern and Southern Africa,Republic of South Africa,Success,450000,Investment Project Financing
Western and Central Africa,Islamic Republic of Mauritania,Success,15000000,Investment Project Financing
Eastern and Southern Africa,Eastern and Southern Africa,Success,432500000,Investment Project Financing
Western and Central Africa,Republic of Benin,Success,100000000,Development Policy Lending
Western and Central Africa,Republic of Ghana,Success,200000000,Investment Project Financing
Eastern and Southern Africa,Republic of South Sudan,Success,63930000,Investment Project Financing
Eastern and Southern Africa,Republic of Rwanda,Fail,410000,Investment Project Financing
Western and Central Africa,Gabonese Republic,Success,12000000,Investment Project Financing
Western and Central Africa,Republic of Togo,Success,20000000,Investment Project Financing
Eastern and Southern Africa,Republic of Mozambique,Success,200000000,Investment Project Financing
Middle East and North Africa,Hashemite Kingdom of Jordan,Fail,250000000,Investment Project Financing
Western and Central Africa,Central African Republic,Success,86500000,Investment Project Financing
Eastern and Southern Africa,Republic of Madagascar,Success,40000000,Investment Project Financing
Eastern and Southern Africa,Republic of Mozambique,Success,50000000,Investment Project Financing
Africa East,Union of the Comoros,Fail,20000000,Investment Project Financing
Western and Central Africa,Republic of Ghana,Success,150000000,Program-for-Results Financing
Middle East and North Africa,Lebanese Republic,Success,350000,Investment Project Financing
Western and Central Africa,Republic of Sierra Leone,Success,8500000,Investment Project Financing
Eastern and Southern Africa,Somali Democratic Republic,Fail,72000000,Investment Project Financing
Eastern and Southern Africa,Republic of Seychelles,Success,35000000,Development Policy Lending
Western and Central Africa,Republic of Senegal,Success,202000000,Investment Project Financing
Western and Central Africa,Republic of Niger,Success,39540000,Investment Project Financing
Eastern and Southern Africa,Republic of Kenya,Success,130000000,Investment Project Financing
Middle East and North Africa,West Bank and Gaza,Success,3750000,Investment Project Financing
Eastern and Southern Africa,Republic of Malawi,Success,30000000,Investment Project Financing
Eastern and Southern Africa,Republic of Zambia,Success,24000000,Investment Project Financing
Eastern and Southern Africa,Republic of Burundi,Success,61000000,Investment Project Financing
Western and Central Africa,Republic of Chad,Success,38200000,Investment Project Financing
Western and Central Africa,Republic of Guinea-Bissau,Fail,20000000,Investment Project Financing
Eastern and Southern Africa,Eastern and Southern Africa,Success,1433000000,Program-for-Results Financing
Eastern and Southern Africa,Somali Democratic Republic,Success,75000000,Investment Project Financing
Eastern and Southern Africa,Somali Democratic Republic,Success,110000000,Investment Project Financing
Eastern and Southern Africa,Democratic Republic of the Congo,Success,250000000,Investment Project Financing
Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,Success,3850800000,Program-for-Results Financing
Middle East and North Africa,Republic of Tunisia,Success,318000000,Investment Project Financing
Middle East and North Africa,Kingdom of Morocco,Success,230000000,Program-for-Results Financing
Western and Central Africa,Republic of Mali,Success,52500000,Investment Project Financing
Western and Central Africa,Republic of Niger,Success,29200000,Investment Project Financing
Eastern and Southern Africa,Somali Democratic Republic,Success,50000000,Investment Project Financing
Western and Central Africa,Republic of Liberia,Success,8000000,Investment Project Financing
Western and Central Africa,Republic of Togo,Success,29500000,Investment Project Financing
Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,Fail,300000000,Investment Project Financing
Western and Central Africa,Western and Central Africa,Success,36000000,Investment Project Financing
